time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-11T11:59:15.755Z,32.689,-109.1253,5,2.8,ml,23,70,0.138,0.64,us,us7000kuzs,2023-09-22T07:47:51.040Z,"Arizona",earthquake,2.12,1.968,0.057,40,reviewed,us,us
2023-09-11T20:07:23.647Z,29.09454346,-97.86982996,2.518839518,3.2,ml,19,85,0.06950751704,0.3,tx,tx2023rvuc,2023-10-12T13:33:03.040Z,"18 km SSE of Stockdale, Texas",earthquake,2.206267046,2.101764894,0.2,10,reviewed,tx,tx
2023-09-11T23:49:24.549Z,29.05975342,-97.87189798,4.670857747,3.1,ml,22,82,0.08016490881,0.2,tx,tx2023rwbl,2023-10-12T03:58:48.040Z,"16 km ENE of Falls City, Texas",earthquake,1.295215068,2.533880727,0,7,reviewed,tx,tx
2023-09-11T23:56:08.599Z,29.04327393,-97.85948989,0.0244547526,2.8,ml,12,73,0.04961824465,0.1,tx,tx2023rwbr,2023-10-12T04:14:20.040Z,"16 km ENE of Falls City, Texas",earthquake,0.7643002763,1.262380539,0.1,16,reviewed,tx,tx
2023-09-12T07:01:48.195Z,40.1787,-117.7743,7.5,2.6,ml,4,250.73,0.445,0.0634,nn,nn00865740,2023-09-19T06:56:25.040Z,"59 km E of Lovelock, Nevada",earthquake,,11,0.17,3,reviewed,nn,nn
2023-09-12T08:32:21.450Z,37.1875,-121.573,5.81,3.28,ml,147,36,0.04897,0.11,nc,nc73935981,2023-10-25T13:19:58.040Z,"10 km NE of Morgan Hill, CA",earthquake,0.09,0.21,0.164,115,reviewed,nc,nc
2023-09-12T15:34:09.774Z,32.68157959,-100.691573,7.409790039,2.8,ml,20,56,0.04119253899,0.2,tx,tx2023rxgp,2023-09-13T15:57:55.040Z,"8 km NE of Hermleigh, Texas",earthquake,0.7847935487999999,1.19854764,0.1,20,reviewed,tx,tx
2023-09-12T17:19:15.464Z,31.67568637,-104.4309811,6.774267578,2.8,ml,14,60,0.006334042429,0.1,tx,tx2023rxkc,2023-10-09T17:42:48.040Z,"55 km S of Whites City, New Mexico",earthquake,1.648696599,1.355906615,0.1,6,reviewed,tx,tx
2023-09-12T17:25:20.000Z,47.645833333333336,-117.68783333333333,7.77,2.73,ml,12,63,0.1153,0.08,uw,uw61950352,2023-10-11T22:24:44.040Z,"Washington",earthquake,0.35,1.29,0.1436090416947886,4,reviewed,uw,uw
2023-09-12T22:01:06.404Z,34.1545,-106.958,4.954,2.6,ml,39,59,0.017,0.7,us,us7000kvdp,2023-10-11T03:41:22.193Z,"4 km W of Lemitar, New Mexico",earthquake,4.61,5.665,0.105,12,reviewed,us,us
2023-09-13T05:18:31.195Z,31.62901529,-104.3635558,6.851391602,2.7,ml,18,76,0.06442958063,0.1,tx,tx2023ryhu,2023-10-11T09:45:14.040Z,"60 km S of Whites City, New Mexico",earthquake,0.9610586562,1.219660307,0,6,reviewed,tx,tx
2023-09-14T02:43:54.090Z,36.5745,-121.1756667,7.74,3.35,ml,87,53,0.008319,0.15,nc,nc73936566,2023-10-18T23:25:22.040Z,"6 km NNW of Pinnacles, CA",earthquake,0.2,0.32,0.123,83,reviewed,nc,nc
2023-09-14T07:32:51.010Z,28.0038,-112.1522,10,4,mb,29,120,0.686,0.54,us,us7000kvns,2023-10-21T07:18:36.040Z,"74 km N of Santa Rosalía, Mexico",earthquake,4.92,1.99,0.172,9,reviewed,us,us
2023-09-14T09:46:44.040Z,35.4138333,-117.1861667,1.82,2.7,ml,29,81,0.183,0.12,ci,ci39664754,2023-10-11T07:04:33.040Z,"41 km E of Johannesburg, CA",earthquake,0.18,0.72,0.139,111,reviewed,ci,ci
2023-09-14T15:25:53.760Z,40.815,-111.6643333,11.94,2.51,ml,30,62,0.1145,0.18,uu,uu60550122,2023-10-09T21:38:07.738Z,"8 km NNW of Summit Park, Utah",earthquake,0.34,0.66,0.178,20,reviewed,uu,uu
