release_year,genre,region,sales
1985,Puzzle,European Union,0.19
1985,Shooter,European Union,0.14
1985,Simulation,European Union,0.03
1985,Sports,European Union,0.23
1986,Action,European Union,1.6600000000000001
1986,Platform,European Union,0.18
1986,Racing,European Union,0.37
1986,Role-Playing,European Union,0.0
1986,Shooter,European Union,0.16
1986,Sports,European Union,0.47000000000000003
1987,Action,European Union,0.06
1987,Adventure,European Union,0.5
1987,Fighting,European Union,0.6499999999999999
1987,Platform,European Union,0.14
1987,Role-Playing,European Union,0.0
1987,Shooter,European Union,0.03
1987,Sports,European Union,0.03
1988,Action,European Union,0.16
1988,Platform,European Union,4.99
1988,Puzzle,European Union,0.69
1988,Racing,European Union,0.38
1988,Role-Playing,European Union,0.0
1988,Shooter,European Union,0.03
1988,Simulation,European Union,0.02
1988,Sports,European Union,0.32
1989,Action,European Union,0.46
1989,Misc,European Union,0.0
1989,Platform,European Union,3.08
1989,Puzzle,European Union,3.61
1989,Role-Playing,European Union,0.0
1989,Shooter,European Union,0.39
1989,Sports,European Union,0.9
1990,Action,European Union,0.9700000000000001
1990,Platform,European Union,3.99
1990,Puzzle,European Union,0.8
1990,Racing,European Union,1.2
1990,Role-Playing,European Union,0.0
1990,Simulation,European Union,0.17
1990,Sports,European Union,0.5
1991,Action,European Union,1.08
1991,Adventure,European Union,0.31
1991,Fighting,European Union,0.0
1991,Misc,European Union,0.0
1991,Platform,European Union,1.19
1991,Puzzle,European Union,0.16
1991,Racing,European Union,0.37
1991,Role-Playing,European Union,0.09
1991,Shooter,European Union,0.38
1991,Simulation,European Union,0.27
1991,Sports,European Union,0.1
1991,Strategy,European Union,0.0
1992,Action,European Union,0.96
1992,Adventure,European Union,2.81
1992,Fighting,European Union,2.28
1992,Misc,European Union,0.7100000000000001
1992,Platform,European Union,2.05
1992,Puzzle,European Union,0.52
1992,Racing,European Union,1.24
1992,Role-Playing,European Union,0.0
1992,Shooter,European Union,0.0
1992,Simulation,European Union,0.84
1992,Sports,European Union,0.25
1992,Strategy,European Union,0.05
1993,Action,European Union,0.22
1993,Adventure,European Union,0.0
1993,Fighting,European Union,0.55
1993,Misc,European Union,0.0
1993,Platform,European Union,3.16
1993,Puzzle,European Union,0.13
1993,Racing,European Union,0.0
1993,Role-Playing,European Union,0.07
1993,Shooter,European Union,0.51
1993,Simulation,European Union,0.0
1993,Sports,European Union,0.01
1993,Strategy,European Union,0.0
1994,Action,European Union,0.12
1994,Adventure,European Union,2.81
1994,Fighting,European Union,0.98
1994,Misc,European Union,0.81
1994,Platform,European Union,5.7299999999999995
1994,Puzzle,European Union,0.0
1994,Racing,European Union,0.0
1994,Role-Playing,European Union,0.0
1994,Shooter,European Union,2.57
1994,Simulation,European Union,0.23
1994,Sports,European Union,0.55
1994,Strategy,European Union,1.08
1995,Action,European Union,0.45
1995,Adventure,European Union,0.01
1995,Fighting,European Union,2.84
1995,Misc,European Union,1.56
1995,Platform,European Union,3.22
1995,Puzzle,European Union,0.13
1995,Racing,European Union,1.56
1995,Role-Playing,European Union,0.30000000000000004
1995,Shooter,European Union,0.48
1995,Simulation,European Union,0.63
1995,Sports,European Union,1.28
1995,Strategy,European Union,2.44
1996,Action,European Union,5.88
1996,Adventure,European Union,0.6
1996,Fighting,European Union,4.05
1996,Misc,European Union,2.75
1996,Platform,European Union,6.83
1996,Puzzle,European Union,0.29
1996,Racing,European Union,5.1899999999999995
1996,Role-Playing,European Union,11.040000000000001
1996,Shooter,European Union,2.14
1996,Simulation,European Union,3.05
1996,Sports,European Union,3.7800000000000002
1996,Strategy,European Union,1.6600000000000001
1997,Action,European Union,9.86
1997,Adventure,European Union,1.3399999999999999
1997,Fighting,European Union,2.65
1997,Misc,European Union,1.22
1997,Platform,European Union,6.45
1997,Puzzle,European Union,0.53
1997,Racing,European Union,10.82
1997,Role-Playing,European Union,3.4400000000000004
1997,Shooter,European Union,4.5
1997,Simulation,European Union,1.29
1997,Sports,European Union,5.47
1997,Strategy,European Union,0.75
1998,Action,European Union,11.9
1998,Adventure,European Union,2.52
1998,Fighting,European Union,7.8
1998,Misc,European Union,2.91
1998,Platform,European Union,8.19
1998,Puzzle,European Union,1.59
1998,Racing,European Union,9.62
1998,Role-Playing,European Union,6.44
1998,Shooter,European Union,3.3600000000000003
1998,Simulation,European Union,0.77
1998,Sports,European Union,10.209999999999999
1998,Strategy,European Union,1.59
1999,Action,European Union,8.68
1999,Adventure,European Union,2.7800000000000002
1999,Fighting,European Union,2.65
1999,Misc,European Union,3.73
1999,Platform,European Union,5.34
1999,Puzzle,European Union,0.45
1999,Racing,European Union,11.11
1999,Role-Playing,European Union,11.17
1999,Shooter,European Union,3.73
1999,Simulation,European Union,1.33
1999,Sports,European Union,7.03
1999,Strategy,European Union,4.67
2000,Action,European Union,10.84
2000,Adventure,European Union,0.6900000000000001
2000,Fighting,European Union,6.3100000000000005
2000,Misc,European Union,4.91
2000,Platform,European Union,4.64
